id,file,reportedtime,occurrencetype,occurrencetypeid,crimetype,crimetypeid,crimecategory,crimecategoryid,location,locationid,neighbourhood,neighbourhoodid,lat,long
4201201512953,2015-12953,5/16/2015 7:18:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,2XX 4TH ST,27628,University District,19,49.158939,-123.950248
4201201511967,2015-11967,5/7/2015 7:35:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,36XX MONTEREY DR,27634,Pleasant Valley,20,49.199719,-124.039158
420120157836,2015-7836,3/26/2015 8:16:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,47XX FAIRBROOK CRES,27643,Rutherford,12,49.221988,-124.013348
420120155575,2015-5575,2/26/2015 9:00:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,5XX ELIZABETH ST,27653,University District,19,49.165101,-123.954834
4201201511338,2015-11338,4/29/2015 9:00:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,65XX GROVELAND DR,27660,Dover,11,49.244832,-124.049724
420120158514,2015-8514,4/1/2015 6:59:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,6XX KERR ST,27665,University District,19,49.168514,-123.957367
4201201519097,2015-19097,7/7/2015 3:13:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,18XX DEAN RD,27687,Chase River,8,49.107272,-123.919375
4201201515140,2015-15140,6/5/2015 11:28:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,20XX LAKESIDE DR,27691,Chase River,8,49.102069,-123.929944
420120156990,2015-6990,3/16/2015 8:45:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,23XX PANORAMA VIEW DR,27693,Westwood,18,49.168183,-124.002088
4201201517264,2015-17264,6/21/2015 7:00:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,34XX PLANTA RD,27697,Hammond Bay,15,49.21502,-123.947136
420120157525,2015-7525,3/22/2015 10:55:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,44XX BOBAN DR,27699,Pleasant Valley,20,49.208665,-124.03727
420120155062,2015-5062,2/20/2015 9:00:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,FRANKLYN ST / WESLEY ST,27709,Downtown,2,49.163801,-123.940123
420120155857,2015-5857,2/28/2015 5:56:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,35XX STEPHENSON POINT RD,27772,Hammond Bay,15,49.215209,-123.942782
420120156709,2015-6709,2/26/2015 5:11:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,35XX STEPHENSON POINT RD,27772,Hammond Bay,15,49.215209,-123.942782
420120155165,2015-5165,3/12/2015 8:28:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,65XX KESTREL CRES,27801,Dover,11,49.243253,-124.050514
420120156490,2015-6490,3/6/2015 8:00:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,10XX  HIGHVIEW TERR,27865,South End,6,49.142231,-123.926922
4201201511595,2015-11595,5/3/2015 2:23:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,12XX NANAIMO LAKES RD,27868,Westwood,18,49.134168,-123.974731
420120157600,2015-7600,3/23/2015 9:39:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,12XX NANAIMO LAKES RD,27868,Westwood,18,49.134168,-123.974731
420120155234,2015-5234,2/22/2015 11:00:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,12XX NANAIMO LAKES RD,27868,Westwood,18,49.134168,-123.974731
420120155442,2015-5442,2/27/2015 10:27:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,13TH ST / CRANBERRY AVE,27869,Harewood,10,49.125131,-123.919928
420120155839,2015-5839,3/4/2015 8:42:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,14XX SHERWOOD DR,27870,Linley Valley,14,49.207489,-123.970367
420120155917,2015-5917,2/20/2015 6:20:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,14XX WHITE ST,27871,Northfield,5,49.178469,-123.970885
420120155590,2015-5590,3/4/2015 11:45:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,19XX KELLS BAY,27878,Chase River,8,49.109856,-123.921585
420120156627,2015-6627,3/6/2015 8:00:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,1XX CAPTAIN MORGANS BLVD,27881,Downtown,2,49.176655,-123.917395
420120156327,2015-6327,2/23/2015 12:07:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,1XX MUSEUM WAY,27885,Downtown,2,49.165125,-123.936292
420120156585,2015-6585,3/12/2015 12:15:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,20XX CATHERS DR,27887,Westwood,18,49.173484,-123.989106
420120155549,2015-5549,3/1/2015 2:42:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,24XX NORTHFIELD RD,27893,Diver Lake,13,49.187619,-124.002583
